wordType,category,subcategory,set,english,french,article,imageUrl,audioUrl
Nouns,Kitchen,Utensils,1,fork,fourchette,la,,
Nouns,Kitchen,Utensils,1,knife,couteau,le,,
Nouns,Kitchen,Utensils,1,spoon,cuillère,la,,
Nouns,Kitchen,Utensils,1,plate,assiette,la,,
Nouns,Kitchen,Utensils,1,bowl,bol,le,,
Nouns,Kitchen,Utensils,1,glass,verre,le,,
Nouns,Kitchen,Utensils,1,mug,tasse,la,,
Nouns,Kitchen,Utensils,1,napkin,serviette,la,,
Nouns,Kitchen,Utensils,1,straw,paille,la,,
Nouns,Kitchen,Utensils,1,teaspoon,cuillère à café,la,,
Nouns,Kitchen,Utensils,2,ladle,louche,la,,
Nouns,Kitchen,Utensils,2,spatula,spatule,la,,
Nouns,Kitchen,Utensils,2,whisk,fouet,le,,
Nouns,Kitchen,Utensils,2,peeler,éplucheur,le,,
Nouns,Kitchen,Utensils,2,tongs,pince,la,,
Nouns,Kitchen,Utensils,2,grater,rape,la,,
Nouns,Kitchen,Utensils,2,cutting board,planche à découper,la,,
Nouns,Kitchen,Utensils,2,measuring cup,tasse à mesurer,la,,
Nouns,Kitchen,Utensils,2,measuring spoon,cuillère à mesurer,la,,
Nouns,Kitchen,Utensils,2,rolling pin,rouleau à pâtisserie,le,,
Nouns,Kitchen,Utensils,3,can opener,ouvre-boîte,l',,
Nouns,Kitchen,Utensils,3,bottle opener,ouvre-bouteille,l',,
Nouns,Kitchen,Utensils,3,colander,passoire,la,,
Nouns,Kitchen,Utensils,3,sieve,tamis,le,,
Nouns,Kitchen,Utensils,3,kitchen scissors,ciseaux de cuisine,les,,
Nouns,Kitchen,Utensils,3,pot holder,manique,la,,
Nouns,Kitchen,Utensils,3,kitchen timer,minuteur de cuisine,le,,
Nouns,Kitchen,Utensils,3,garlic press,presse-ail,le,,
Nouns,Kitchen,Utensils,3,ice cream scoop,cuillère à glace,la,,
Nouns,Kitchen,Utensils,3,food scale,balance de cuisine,la,,
Nouns,Kitchen,Pots and Pans,1,saucepan,casserole,la,,
Nouns,Kitchen,Pots and Pans,1,frying pan,poêle,la,,
Nouns,Kitchen,Pots and Pans,1,stockpot,marmite,la,,
Nouns,Kitchen,Pots and Pans,1,wok,wok,le,,
Nouns,Kitchen,Pots and Pans,1,pressure cooker,autocuiseur,le,,
Nouns,Kitchen,Pots and Pans,1,dutch oven,cocotte,la,,
Nouns,Kitchen,Pots and Pans,1,sauté pan,sauteuse,la,,
Nouns,Kitchen,Pots and Pans,1,grill pan,poêle grill,la,,
Nouns,Kitchen,Pots and Pans,1,roasting pan,plat à rôtir,le,,
Nouns,Kitchen,Pots and Pans,1,double boiler,bain-marie,le,,
Nouns,Kitchen,Pots and Pans,2,stew pot,faitout,le,,
Nouns,Kitchen,Pots and Pans,2,tagine,tajine,le,,
Nouns,Kitchen,Pots and Pans,2,casserole dish,plat à gratin,le,,
Nouns,Kitchen,Pots and Pans,2,pan lid,couvercle,le,,
Nouns,Kitchen,Pots and Pans,2,griddle,plaque chauffante,la,,
Nouns,Kitchen,Pots and Pans,2,steam pot,cuit-vapeur,le,,
Nouns,Kitchen,Pots and Pans,2,paella pan,poêle à paella,la,,
Nouns,Kitchen,Pots and Pans,2,oven tray,plaque de cuisson,la,,
Nouns,Kitchen,Pots and Pans,2,ramekin,ramequin,le,,
Nouns,Kitchen,Pots and Pans,2,baking dish,moule à gratin,le,,
Nouns,Kitchen,Bakeware,1,baking sheet,plaque de cuisson,la,,
Nouns,Kitchen,Bakeware,1,cake pan,moule à gâteau,le,,
Nouns,Kitchen,Bakeware,1,muffin tin,moule à muffins,le,,
Nouns,Kitchen,Bakeware,1,pie dish,moule à tarte,le,,
Nouns,Kitchen,Bakeware,1,baking dish,plat à four,le,,
Nouns,Kitchen,Bakeware,1,loaf pan,moule à cake,le,,
Nouns,Kitchen,Bakeware,1,springform pan,moule à charnière,le,,
Nouns,Kitchen,Bakeware,1,tart pan,moule à tarte,le,,
Nouns,Kitchen,Bakeware,1,silicone mat,tapis de cuisson en silicone,le,,
Nouns,Kitchen,Bakeware,1,oven mitt,gant de cuisine,le,,
Nouns,Kitchen,Bakeware,2,roasting rack,grille de rôtissage,la,,
Nouns,Kitchen,Bakeware,2,baking stone,pierre à pizza,la,,
Nouns,Kitchen,Bakeware,2,cookie cutter,emporte-pièce,l',,
Nouns,Kitchen,Bakeware,2,cooling rack,grille de refroidissement,la,,
