id,category,subcategory,set,english,french,article,imageUrl,audioUrl
1,Food,Fruits,1,Apple,Pomme,la,https://static.wikia.nocookie.net/fruits-information/images/2/2b/Apple.jpg/revision/latest?cb=20180802112257,https://example.com/audio/pomme.mp3
2,Food,Fruits,1,Banana,Banane,la,https://example.com/images/banana.png,https://example.com/audio/banane.mp3
3,Food,Fruits,1,Cherry,Cerise,la,https://example.com/images/cherry.png,https://example.com/audio/cerise.mp3
4,Food,Fruits,1,Grape,Raisin,le,https://example.com/images/grape.png,https://example.com/audio/raisin.mp3
5,Food,Fruits,1,Orange,Orange,la,https://example.com/images/orange.png,https://example.com/audio/orange.mp3
6,Food,Fruits,1,Strawberry,Fraise,la,https://example.com/images/strawberry.png,https://example.com/audio/fraise.mp3
7,Food,Fruits,1,Lemon,Citron,le,https://example.com/images/lemon.png,https://example.com/audio/citron.mp3
8,Food,Fruits,1,Peach,Pêche,la,https://example.com/images/peach.png,https://example.com/audio/peche.mp3
9,Food,Fruits,1,Pear,Poire,la,https://example.com/images/pear.png,https://example.com/audio/poire.mp3
10,Food,Fruits,1,Watermelon,Pastèque,la,https://example.com/images/watermelon.png,https://example.com/audio/pasteque.mp3
11,Food,Fruits,2,Blueberry,Myrtille,la,https://example.com/images/blueberry.png,https://example.com/audio/myrtille.mp3
12,Food,Fruits,2,Blackberry,Mûre,la,https://example.com/images/blackberry.png,https://example.com/audio/mure.mp3
13,Food,Fruits,2,Raspberry,Framboise,la,https://example.com/images/raspberry.png,https://example.com/audio/framboise.mp3
14,Food,Fruits,2,Pineapple,Ananas,l’,https://upload.wikimedia.org/wikipedia/commons/5/51/Pineapple_%27Victoria%27_with_slice.jpg,https://example.com/audio/ananas.mp3
15,Food,Fruits,2,Coconut,Noix de coco,la,https://example.com/images/coconut.png,https://example.com/audio/noixdecoco.mp3
16,Food,Fruits,2,Kiwi,Kiwi,le,https://example.com/images/kiwi.png,https://example.com/audio/kiwi.mp3
17,Food,Fruits,2,Mango,Mangue,la,https://example.com/images/mango.png,https://example.com/audio/mangue.mp3
18,Food,Fruits,2,Grapefruit,Pamplemousse,le,https://example.com/images/grapefruit.png,https://example.com/audio/pamplemousse.mp3
19,Food,Fruits,2,Fig,Fig,la,https://example.com/images/fig.png,https://example.com/audio/fig.mp3
20,Food,Fruits,2,Plum,Prune,la,https://example.com/images/plum.png,https://example.com/audio/prune.mp3
21,Food,Fruits,3,Dragonfruit,Pitaya,le,https://example.com/images/dragonfruit.png,https://example.com/audio/pitaya.mp3
22,Food,Fruits,3,Passion Fruit,Fruit de la passion,le,https://example.com/images/passionfruit.png,https://example.com/audio/fruitdelapassion.mp3
23,Food,Fruits,3,Guava,Goyave,la,https://example.com/images/guava.png,https://example.com/audio/goyave.mp3
24,Food,Fruits,3,Lychee,Litchi,le,https://example.com/images/lychee.png,https://example.com/audio/litchi.mp3
25,Food,Fruits,3,Apricot,Abricot,un,https://example.com/images/apricot.png,https://example.com/audio/abricot.mp3
26,Food,Fruits,3,Pomegranate,Grenade,la,https://example.com/images/pomegranate.png,https://example.com/audio/grenade.mp3
27,Food,Fruits,3,Starfruit,Carambole,la,https://example.com/images/starfruit.png,https://example.com/audio/carambole.mp3
28,Food,Fruits,3,Tamarind,Tamarin,le,https://example.com/images/tamarind.png,https://example.com/audio/tamarin.mp3
29,Food,Fruits,3,Cantaloupe,Cantaloup,le,https://example.com/images/cantaloupe.png,https://example.com/audio/cantaloup.mp3
30,Food,Fruits,3,Cranberry,Canneberge,la,https://example.com/images/cranberry.png,https://example.com/audio/canneberge.mp3
